2024-10-08 13:52:26 INFO  Tc__001validLogin:13 - Test case Tc__001validLogin started
2024-10-08 13:52:33 INFO  Tc__001validLogin:23 - Test case Tc__001validLogin finshed
2024-10-08 13:52:44 INFO  Tc_002_Invalid_Login:12 - Test case Tc_002_Invalid_Login Started
2024-10-08 13:52:45 INFO  Tc_002_Invalid_Login:19 - Test case Tc_002_Invalid_Login finished
2024-10-08 13:52:59 INFO  Login_DataDriven:14 - Test case Tc_002 started
2024-10-08 13:52:59 INFO  Login_DataDriven:18 - Test case Tc_002 entering username
2024-10-08 13:52:59 INFO  Login_DataDriven:20 - Test case Tc_002 entering password
2024-10-08 13:52:59 INFO  Login_DataDriven:22 - Test case Tc_002 clicking login
2024-10-08 13:52:59 INFO  Login_DataDriven:14 - Test case Tc_002 started
2024-10-08 13:52:59 INFO  Login_DataDriven:18 - Test case Tc_002 entering username
2024-10-08 13:53:00 INFO  Login_DataDriven:20 - Test case Tc_002 entering password
2024-10-08 13:53:00 INFO  Login_DataDriven:22 - Test case Tc_002 clicking login
2024-10-08 13:53:00 INFO  Login_DataDriven:14 - Test case Tc_002 started
2024-10-08 13:53:00 INFO  Login_DataDriven:18 - Test case Tc_002 entering username
2024-10-08 13:53:00 INFO  Login_DataDriven:20 - Test case Tc_002 entering password
2024-10-08 13:53:00 INFO  Login_DataDriven:22 - Test case Tc_002 clicking login
2024-10-08 13:53:00 INFO  Login_DataDriven:14 - Test case Tc_002 started
2024-10-08 13:53:00 INFO  Login_DataDriven:18 - Test case Tc_002 entering username
2024-10-08 13:53:00 INFO  Login_DataDriven:20 - Test case Tc_002 entering password
2024-10-08 13:53:00 INFO  Login_DataDriven:22 - Test case Tc_002 clicking login
2024-10-08 13:53:00 INFO  Login_DataDriven:14 - Test case Tc_002 started
2024-10-08 13:53:00 INFO  Login_DataDriven:18 - Test case Tc_002 entering username
2024-10-08 13:53:01 INFO  Login_DataDriven:20 - Test case Tc_002 entering password
2024-10-08 13:53:01 INFO  Login_DataDriven:22 - Test case Tc_002 clicking login
2024-10-08 13:53:01 INFO  Login_DataDriven:14 - Test case Tc_002 started
2024-10-08 13:53:01 INFO  Login_DataDriven:18 - Test case Tc_002 entering username
2024-10-08 13:53:01 INFO  Login_DataDriven:20 - Test case Tc_002 entering password
2024-10-08 13:53:01 INFO  Login_DataDriven:22 - Test case Tc_002 clicking login
2024-10-08 13:53:01 INFO  Login_DataDriven:14 - Test case Tc_002 started
2024-10-08 13:53:01 INFO  Login_DataDriven:18 - Test case Tc_002 entering username
2024-10-08 13:53:01 INFO  Login_DataDriven:20 - Test case Tc_002 entering password
2024-10-08 13:53:01 INFO  Login_DataDriven:22 - Test case Tc_002 clicking login
2024-10-08 13:53:01 INFO  Login_DataDriven:14 - Test case Tc_002 started
2024-10-08 13:53:01 INFO  Login_DataDriven:18 - Test case Tc_002 entering username
2024-10-08 13:53:01 INFO  Login_DataDriven:20 - Test case Tc_002 entering password
2024-10-08 13:53:02 INFO  Login_DataDriven:22 - Test case Tc_002 clicking login
2024-10-08 13:53:02 INFO  Login_DataDriven:14 - Test case Tc_002 started
2024-10-08 13:53:02 INFO  Login_DataDriven:18 - Test case Tc_002 entering username
2024-10-08 13:53:02 INFO  Login_DataDriven:20 - Test case Tc_002 entering password
2024-10-08 13:53:02 INFO  Login_DataDriven:22 - Test case Tc_002 clicking login
2024-10-08 13:53:02 INFO  Login_DataDriven:14 - Test case Tc_002 started
2024-10-08 13:53:02 INFO  Login_DataDriven:18 - Test case Tc_002 entering username
2024-10-08 13:53:02 INFO  Login_DataDriven:20 - Test case Tc_002 entering password
2024-10-08 13:53:02 INFO  Login_DataDriven:22 - Test case Tc_002 clicking login
2024-10-08 13:53:02 INFO  Login_DataDriven:14 - Test case Tc_002 started
2024-10-08 13:53:02 INFO  Login_DataDriven:18 - Test case Tc_002 entering username
2024-10-08 13:53:03 INFO  Login_DataDriven:20 - Test case Tc_002 entering password
2024-10-08 13:53:03 INFO  Login_DataDriven:22 - Test case Tc_002 clicking login
2024-10-08 13:53:03 INFO  Login_DataDriven:14 - Test case Tc_002 started
2024-10-08 13:53:03 INFO  Login_DataDriven:18 - Test case Tc_002 entering username
2024-10-08 13:53:03 INFO  Login_DataDriven:20 - Test case Tc_002 entering password
2024-10-08 13:53:03 INFO  Login_DataDriven:22 - Test case Tc_002 clicking login
2024-10-08 13:53:03 INFO  Login_DataDriven:14 - Test case Tc_002 started
2024-10-08 13:53:03 INFO  Login_DataDriven:18 - Test case Tc_002 entering username
2024-10-08 13:53:03 INFO  Login_DataDriven:20 - Test case Tc_002 entering password
2024-10-08 13:53:03 INFO  Login_DataDriven:22 - Test case Tc_002 clicking login
